,xmin,ymin,xmax,ymax,confidence,class,name
57,389.6274108886719,127.27336120605469,415.56951904296875,201.36026000976562,0.5240276455879211,9,traffic light
58,438.6942443847656,232.52249145507812,495.5869445800781,396.9423828125,0.8730241060256958,0,person
59,492.7387390136719,239.02127075195312,548.1223754882812,397.40460205078125,0.8369304537773132,0,person
60,362.4313659667969,126.37019348144531,394.5915832519531,202.46095275878906,0.5784730315208435,9,traffic light
61,390.11328125,127.3736572265625,415.7946472167969,200.62889099121094,0.5240061283111572,9,traffic light
62,438.295166015625,232.25946044921875,495.2201843261719,394.0150451660156,0.879261314868927,0,person
63,491.64471435546875,239.2954559326172,547.7396240234375,393.8167419433594,0.8248727917671204,0,person
64,362.86273193359375,126.30889892578125,395.2302551269531,203.20761108398438,0.5871612429618835,9,traffic light
65,390.1908264160156,126.74024963378906,416.06134033203125,201.58082580566406,0.49480316042900085,9,traffic light
66,438.2298278808594,232.27537536621094,495.2430114746094,394.0959167480469,0.8788772225379944,0,person
67,491.6719055175781,239.02342224121094,547.6845092773438,393.87322998046875,0.8253235220909119,0,person
68,362.90167236328125,126.30020904541016,395.46673583984375,203.36737060546875,0.5778253078460693,9,traffic light
69,390.0140075683594,126.5626220703125,416.14910888671875,201.74111938476562,0.4912991225719452,9,traffic light
70,437.1779479980469,231.83056640625,494.7582092285156,392.5248718261719,0.8866291046142578,0,person
71,492.6015930175781,238.2250213623047,547.717041015625,394.5765686035156,0.8360585570335388,0,person
72,363.1174011230469,126.72994995117188,395.51641845703125,203.58535766601562,0.5095239877700806,9,traffic light
73,390.7881774902344,127.1890869140625,416.190673828125,201.8933868408203,0.4507671892642975,9,traffic light
74,435.9095764160156,231.9203338623047,493.4631042480469,390.9564514160156,0.8911563754081726,0,person
75,491.4313659667969,233.0332489013672,548.2781982421875,390.3170471191406,0.8574358224868774,0,person
76,363.189697265625,126.62455749511719,394.5704040527344,201.54287719726562,0.5602068901062012,9,traffic light
77,391.65234375,132.7126922607422,416.00738525390625,199.99456787109375,0.4686330258846283,9,traffic light
78,435.1177673339844,232.1666717529297,491.0414733886719,388.9581298828125,0.8938920497894287,0,person
79,492.3049621582031,232.55099487304688,549.4378662109375,387.4867858886719,0.8710457682609558,0,person
80,363.85113525390625,126.66419982910156,395.2760314941406,199.3251953125,0.5701398849487305,9,traffic light
81,392.0407409667969,132.82154846191406,416.0515441894531,197.96282958984375,0.47936680912971497,9,traffic light
82,433.4268493652344,231.7814483642578,489.607177734375,385.1922912597656,0.8926296234130859,0,person
83,493.90191650390625,231.62612915039062,549.8822021484375,385.2165832519531,0.8545173406600952,0,person
84,364.4655456542969,126.53936767578125,395.5631103515625,198.71612548828125,0.5160179138183594,9,traffic light
85,392.57391357421875,132.13580322265625,416.76983642578125,197.7356414794922,0.44278472661972046,9,traffic light
86,433.159912109375,229.87417602539062,489.4949645996094,381.8122863769531,0.8892467021942139,0,person
87,495.760009765625,235.29405212402344,548.3572998046875,383.793212890625,0.845818042755127,0,person
88,365.0661926269531,126.89971923828125,396.080322265625,198.03424072265625,0.5468937158584595,9,traffic light
89,393.16546630859375,132.58038330078125,416.8455810546875,195.73760986328125,0.43536844849586487,9,traffic light
90,433.0667724609375,229.90855407714844,489.473876953125,381.8772888183594,0.8893269300460815,0,person
91,495.71759033203125,235.39027404785156,548.3626708984375,383.7003479003906,0.8457875847816467,0,person
92,364.99609375,126.95038604736328,396.03912353515625,198.06272888183594,0.5431548953056335,9,traffic light
93,393.2441101074219,132.65077209472656,416.8903503417969,195.54849243164062,0.4317254424095154,9,traffic light
